"DH8", "BOEING CANADA DHC-8 DASH 8 (ALL SERIES)",        "BOEING CANADA",     "DHC8", 2, "TURBOPROP",   "NO",   90.0,   84.25,  41100,   56,  12500,   329,  1249, "YES"
"DO8", "DORNIER 228",                                    "DORNIER",            "228", 2, "TURBOPROP",   "NO",   55.67,  54.33,  12566,   25,   4689,   266,   834,  "NO"
"EM2", "EMBRAER EMB-120 BRASILIA",                       "EMBRAER",       "BRASILIA", 2, "TURBOPROP",   "NO",   64.90,  65.63,  25353,   30,   7650,   343,  1088, "YES"
"F27", "FOKKER F27 FRIENDSHIP/FAIRCHILD (ALL SERIES)",   "FOKKER",             "F27", 2, "TURBOPROP",   "NO",   95.17,  82.21,  45000,   60,  13804,   298,  1375, "YES"
"F28", "FOKKER F28 FELLOWSHIP (ALL SERIES)",             "FOKKER",             "F28", 2,       "JET",   "NO",   82.25,  97.15,  73000,   85,  23317,   421,  1704, "YES"
"J31", "BRITISH AEROSPACE JETSTREAM 31",                 "BRITISH AEROSPACE", "JETSTREAM", 2, "TURBOPROP","NO", 52.0,   47.13, 15322,    19,   3980,   264,  1208, "YES"
"L10", "LOCKHEED L1011 (ALL SERIES)",                    "LOCKHEED",         "L1011", 3,       "JET",  "YES",  155.33, 177.71, 496000,   400, 88946,   558,  5205, "YES"
"L15", "LOCKHEED L1011-500 TRISTAR",                     "LOCKHEED",         "L1011", 3,       "JET",  "YES",  155.33, 164.21, 496000,   400, 97037,   558,  5998, "YES"
"M11", "MCDONNELL DOUGLAS MD-11",                        "MCDONNELL DOUGLAS", "MD11", 3,       "JET",  "YES",  169.5,  201.0,  602500,   400, 60000,   588,  7988, "YES"
"M80", "MCDONNELL DOUGLAS (MD-80 SERIES)",               "MCDONNELL DOUGLAS", "MD80", 2,       "JET",   "NO",  107.83, 147.83, 160000,   172, 43451,   563,  2880, "YES"
"SF3", "SAAB SF 340",                                    "SAAB",             "SF340", 2, "TURBOPROP",   "NO",   70.33,  64.71,  28000,    35,  8087,   322,  1275, "YES"
"SH6", "SHORTS 360",                                     "SHORTS",             "360", 2, "TURBOPROP",   "NO",   74.79,  70.79,  27100,    39,  7020,   249,   732,  "NO"
"SWM", "FAIRCHILD (SWEARINGEN) METRO/MERLIN",            "FAIRCHILD",          "METRO", 2, "TURBOPROP", "NO",   57.0,   59.33,  16600,    20,  5123,   330,  2175, "YES"
