"STPA", "PIE", "RENTAL CAR",            ""
"STPA", "TPA", "LIMOUSINE",           5.50
"STPA", "TPA", "RENTAL CAR",            ""
"STPA", "TPA", "AIR TAXI OPERATION",    ""
"TSEA", "SEA", "LIMOUSINE",           3.50
"TSEA", "SEA", "RENTAL CAR",            ""
"TSEA", "SEA", "AIR TAXI OPERATION",    ""
"TTPA", "PIE", "LIMOUSINE",             ""
"TTPA", "PIE", "RENTAL CAR",            ""
"TTPA", "TPA", "LIMOUSINE",           5.50
"TTPA", "TPA", "RENTAL CAR",            ""
"TTPA", "TPA", "AIR TAXI OPERATION",    ""
"WWAS", "BWI", "LIMOUSINE",          10.00
"WWAS", "DCA", "LIMOUSINE",           7.00
"WWAS", "DCA", "RENTAL CAR",            ""
"WWAS", "DCA", "AIR TAXI OPERATION",    ""
"WWAS", "DCA", "RAPID TRANSIT",       1.00
"WWAS", "IAD", "LIMOUSINE",          14.00
"WWAS", "IAD", "RENTAL CAR",            ""
"WWAS", "IAD", "AIR TAXI OPERATION",    ""
"YYMQ", "YMX", "LIMOUSINE",          11.75
"YYMQ", "YMX", "RENTAL CAR",            ""
"YYMQ", "YUL", "LIMOUSINE",           8.50
"YYMQ", "YUL", "RENTAL CAR",            ""
"YYMQ", "YUL", "AIR TAXI OPERATION",    ""
"YYTO", "YKZ", "TAXI",               27.00
"YYTO", "YKZ", "RENTAL CAR",            ""
"YYTO", "YKZ", "AIR TAXI OPERATION",    ""
"YYTO", "YYZ", "LIMOUSINE",          10.00
"YYTO", "YYZ", "RENTAL CAR",            ""
"YYTO", "YYZ", "AIR TAXI OPERATION",    ""
